Symbol,Date,Time,Open,High,Low,Close,TotalVolume,,,,,,,,,,,,,,,,Open
2317,2024/10/22,09:12:00,209.5,210,209.5,209.5,397,,,,,,,,,,,,,,,,
2317,2024/10/22,09:13:00,209.5,210,209,209.5,587,,,,,,,,,,,,,,,,
2317,2024/10/22,09:14:00,209,209.5,209,209,289,,,,,,,,,,,,,,,,
2317,2024/10/22,09:15:00,209.5,209.5,209,209,69,,,,,,,,,,,,,,,,
2317,2024/10/22,09:16:00,209.5,210,209,210,1167,,,,,,,,,,,,,,,,
2317,2024/10/22,09:17:00,209.5,210,209.5,210,120,,,,,,,,,,,,,,,,
2317,2024/10/22,09:18:00,210,210,209.5,210,68,,,,,,,,,,,,,,,,
2317,2024/10/22,09:19:00,209.5,210,209.5,210,747,,,,,,,,,,,,,,,,
2317,2024/10/22,09:20:00,210,210.5,210,210.5,465,,,,,,,,,,,,,,,,
2317,2024/10/22,09:21:00,210.5,210.5,210,210.5,299,,,,,,,,,,,,,,,,
2317,2024/10/22,09:22:00,210.5,211,210,211,414,,,,,,,,,,,,,,,,
2317,2024/10/22,09:23:00,211,211.5,210.5,211.5,979,,,,,,,,,,,,,,,,
2317,2024/10/22,09:24:00,211.5,212,211,211.5,723,,,,,,,,,,,,,,,,
2317,2024/10/22,09:25:00,211.5,212,211.5,212,429,,,,,,,,,,,,,,,,
2317,2024/10/22,09:26:00,212,213,211.5,212.5,1337,,,,,,,,,,,,,,,,
2317,2024/10/22,09:27:00,212.5,213,212.5,213,358,,,,,,,,,,,,,,,,
2317,2024/10/22,09:28:00,212.5,215,212.5,214.5,5228,,,,,,,,,,,,,,,,
2317,2024/10/22,09:29:00,214.5,214.5,214,214,710,,,,,,,,,,,,,,,,
2317,2024/10/22,09:30:00,214,214.5,213.5,214,1036,,,,,,,,,,,,,,,,
2317,2024/10/22,09:31:00,214.5,214.5,213.5,214.5,664,,,,,,,,,,,,,,,,
2317,2024/10/22,09:32:00,214,214.5,214,214,263,,,,,,,,,,,,,,,,
2317,2024/10/22,09:33:00,214.5,215,214,215,2112,,,,,,,,,,,,,,,,
2317,2024/10/22,09:34:00,215,215,214.5,214.5,494,,,,,,,,,,,,,,,,
2317,2024/10/22,09:35:00,215,215,214.5,214.5,458,,,,,,,,,,,,,,,,
2317,2024/10/22,09:36:00,214.5,215,214,214.5,475,,,,,,,,,,,,,,,,
2317,2024/10/22,09:37:00,214,214.5,214,214,375,,,,,,,,,,,,,,,,
2317,2024/10/22,09:38:00,214,215,214,214.5,1334,,,,,,,,,,,,,,,,
